"806799","SP-afdeling Aa en Hunze","806800","SP-regio Drenthe"
"806802","SP Alblasserwaard","806803","SP-regio Rijnmond Oost"
"806805","SP Alkmaar","806806","SP-regio Noord-Holland Noord"
"806808","SP Almelo","806809","SP-regio Overijssel"
"806811","SP Almere","806812","SP-regio Flevoland"
"806814","SP Alphen aan den Rijn","806815","SP-regio Zuid-Holland Noord"
"806816","SP Amersfoort","806817","SP-regio Utrecht"
"806819","SP Amstelland","806820","SP-regio Noord-Holland Midden"
"806821","SP Amstelveen","806822","SP-regio Noord-Holland Zuid"
"806823","SP Amsterdam","806822","SP-regio Noord-Holland Zuid"
"806824","SP Apeldoorn","806825","SP-regio Gelderland Noord-en-Oost"
"806827","SP Appingedam","806828","SP-regio Groningen"
"806830","SP Arnhem","806831","SP-regio Gelderland Zuid"
"806832","SP Assen","806800","SP-regio Drenthe"
"806833","SP Baarn","806817","SP-regio Utrecht"
"806835","SP Bellingwedde","806828","SP-regio Groningen"
"806836","SP Bergen op Zoom","806837","SP-regio Noord-Brabant West"
"806839","SP Berkelland","806825","SP-regio Gelderland Noord-en-Oost"
"806840","SP Bernheze","806841","SP-regio Noord-Brabant NoordOost"
"806842","SP Beuningen","806831","SP-regio Gelderland Zuid"
"806843","SP Beverwijk","806822","SP-regio Noord-Holland Zuid"
"806844","SP Bodegraven","806815","SP-regio Zuid-Holland Noord"
"806845","SP Borne","806809","SP-regio Overijssel"
"806846","SP Boxmeer","806841","SP-regio Noord-Brabant NoordOost"
"806847","SP Boxtel","806848","SP-regio Noord-Brabant Zuidoost"
"806847","SP Boxtel","806841","SP-regio Noord-Brabant NoordOost"
"806849","SP Breda","806837","SP-regio Noord-Brabant West"
"806850","SP Brielle","806851","SP-regio Rijnmond West"
"806852","SP Brunssum","806853","SP-regio Limburg Zuid"
"806855","SP Bunnik","806817","SP-regio Utrecht"
"806856","SP-afdeling Capelle aan de IJssel","806803","SP-regio Rijnmond Oost"
"806857","SP Capelle aan den IJssel","806803","SP-regio Rijnmond Oost"
"806858","SP Castricum","806806","SP-regio Noord-Holland Noord"
"806859","SP Coevorden","806800","SP-regio Drenthe"
"806860","SP-afdeling Cuijck","806841","SP-regio Noord-Brabant NoordOost"
"806861","SP Cuijk","806841","SP-regio Noord-Brabant NoordOost"
"806862","SP Culemborg","806831","SP-regio Gelderland Zuid"
"806863","SP De Bilt","806817","SP-regio Utrecht"
"806867","SP Delft","806868","SP-regio Haaglanden"
"806869","SP Den Bosch","806841","SP-regio Noord-Brabant NoordOost"
"806870","SP Den Haag","806868","SP-regio Haaglanden"
"806871","SP Den Helder","806806","SP-regio Noord-Holland Noord"
"806872","SP Deventer","806809","SP-regio Overijssel"
"806873","SP Diemen","806822","SP-regio Noord-Holland Zuid"
"806874","SP Doesburg","806825","SP-regio Gelderland Noord-en-Oost"
"806875","SP Doetinchem","806825","SP-regio Gelderland Noord-en-Oost"
"806876","SP Gilze en Rijen","806837","SP-regio Noord-Brabant West"
"806877","SP Noardeast-Fryslân","806865","SP-regio Friesland"
"806878","SP Dordrecht","806803","SP-regio Rijnmond Oost"
"806879","SP Dronten","806812","SP-regio Flevoland"
"806880","SP Duiven","806831","SP-regio Gelderland Zuid"
"806881","SP Echt-Susteren","806882","SP-regio Limburg Noord"
"806883","SP Het Hogeland","806828","SP-regio Groningen"
"806884","SP Eindhoven","806848","SP-regio Noord-Brabant Zuidoost"
"806885","SP Emmen","806800","SP-regio Drenthe"
"806886","SP Enschede","806809","SP-regio Overijssel"
"806887","SP Etten-Leur","806837","SP-regio Noord-Brabant West"
"806888","SP Geertruidenberg","806837","SP-regio Noord-Brabant West"
"806889","SP-afdeling Geertruidenburg","806837","SP-regio Noord-Brabant West"
"806890","SP Geldrop-Mierlo","806848","SP-regio Noord-Brabant Zuidoost"
"806891","SP Gemert-Bakel","806848","SP-regio Noord-Brabant Zuidoost"
"806892","SP Gennep","806882","SP-regio Limburg Noord"
"806893","SP Goes","806894","SP-regio Zeeland"
"806896","SP Goirle","806837","SP-regio Noord-Brabant West"
"806897","SP Gorinchem","806803","SP-regio Rijnmond Oost"
"806898","SP Gorssel / Lochem","806831","SP-regio Gelderland Zuid"
"806899","SP Gouda","806815","SP-regio Zuid-Holland Noord"
"806900","SP Grave","806841","SP-regio Noord-Brabant NoordOost"
"806901","SP Groesbeek","806825","SP-regio Gelderland Noord-en-Oost"
"806902","SP Groningen","806828","SP-regio Groningen"
"806903","SP Haarlem","806822","SP-regio Noord-Holland Zuid"
"806904","SP Haarlemmermeer","806822","SP-regio Noord-Holland Zuid"
"806905","SP Harderwijk","806825","SP-regio Gelderland Noord-en-Oost"
"806906","SP Haren","806828","SP-regio Groningen"
"806907","SP Harlingen","806865","SP-regio Friesland"
"806908","SP Heerenveen","806865","SP-regio Friesland"
"806909","SP Heerhugowaard","806806","SP-regio Noord-Holland Noord"
"806910","SP Heerlen","806853","SP-regio Limburg Zuid"
"806911","SP Hellevoetsluis","806851","SP-regio Rijnmond West"
"806912","SP Helmond","806848","SP-regio Noord-Brabant Zuidoost"
"806913","SP Hengelo","806809","SP-regio Overijssel"
"806915","SP Heusden","806841","SP-regio Noord-Brabant NoordOost"
"806916","SP Hilversum","806822","SP-regio Noord-Holland Zuid"
"806917","SP Hof van Twente","806809","SP-regio Overijssel"
"806918","SP Hoogeveen","806800","SP-regio Drenthe"
"806919","SP Hoogezand-Sappemeer","806828","SP-regio Groningen"
"806920","SP Hoorn","806806","SP-regio Noord-Holland Noord"
"806921","SP Horst aan de Maas","806882","SP-regio Limburg Noord"
"806922","SP Houten","806817","SP-regio Utrecht"
"806923","SP Hulst","806894","SP-regio Zeeland"
"806924","SP IJmond-Noord","806806","SP-regio Noord-Holland Noord"
"806925","SP IJsselstein","806817","SP-regio Utrecht"
"806926","SP Kampen","806809","SP-regio Overijssel"
"806927","SP Kerkrade","806853","SP-regio Limburg Zuid"
"806929","SP Landgraaf","806853","SP-regio Limburg Zuid"
"806930","SP Langedijk","806806","SP-regio Noord-Holland Noord"
"806931","SP Leeuwarden","806865","SP-regio Friesland"
"806932","SP Leiden","806815","SP-regio Zuid-Holland Noord"
"806933","SP Leiderdorp","806815","SP-regio Zuid-Holland Noord"
"806934","SP Leidschendam","806868","SP-regio Haaglanden"
"806935","SP Leidschendam-Voorburg","806868","SP-regio Haaglanden"
"806936","SP Lelystad","806812","SP-regio Flevoland"
"806937","SP Leudal","806882","SP-regio Limburg Noord"
"806938","SP Leusden","806817","SP-regio Utrecht"
"806939","SP Lingewaard","806831","SP-regio Gelderland Zuid"
"806940","SP Lochem","806825","SP-regio Gelderland Noord-en-Oost"
"806940","SP Lochem","806825","SP-regio Gelderland Noord-en-Oost"
"806941","SP Maas en Waal","806825","SP-regio Gelderland Noord-en-Oost"
"806942","SP Maassluis","806851","SP-regio Rijnmond West"
"806943","SP Maastricht","806853","SP-regio Limburg Zuid"
"806944","SP Menterwolde","806828","SP-regio Groningen"
"806945","SP Meppel","806800","SP-regio Drenthe"
"806946","SP Middelburg","806894","SP-regio Zeeland"
"806947","SP Midden-Drenthe","806800","SP-regio Drenthe"
"806948","SP Moerdijk","806837","SP-regio Noord-Brabant West"
"806949","SP Montferland","806825","SP-regio Gelderland Noord-en-Oost"
"806950","SP Nederweert","806882","SP-regio Limburg Noord"
"806951","SP Nieuwegein","806817","SP-regio Utrecht"
"806952","SP Nieuwerkerk ad IJssel","806803","SP-regio Rijnmond Oost"
"806953","SP Nijmegen","806831","SP-regio Gelderland Zuid"
"806954","SP Nissewaard","806851","SP-regio Rijnmond West"
"806955","SP Noord-Groningen","806828","SP-regio Groningen"
"806956","SP Noord-Oost Fryslan","806865","SP-regio Friesland"
"806958","SP Noordoostpolder","806812","SP-regio Flevoland"
"806959","SP Noordwest Veluwe","806831","SP-regio Gelderland Zuid"
"806960","SP Nuenen","806848","SP-regio Noord-Brabant Zuidoost"
"806961","SP Oirschot","806848","SP-regio Noord-Brabant Zuidoost"
"806962","SP Oldambt","806828","SP-regio Groningen"
"806964","SP Oosterhout","806837","SP-regio Noord-Brabant West"
"806965","SP Ooststellingwerf","806865","SP-regio Friesland"
"806966","SP Opsterland","806865","SP-regio Friesland"
"806967","SP Oss","806841","SP-regio Noord-Brabant NoordOost"
"806968","SP Oude IJsselstreek","806825","SP-regio Gelderland Noord-en-Oost"
"806969","SP Pekela","806828","SP-regio Groningen"
"806970","SP Purmerend","806822","SP-regio Noord-Holland Zuid"
"806971","SP Raalte","806809","SP-regio Overijssel"
"806972","SP Rheden","806831","SP-regio Gelderland Zuid"
"806973","SP Rijswijk","806868","SP-regio Haaglanden"
"806974","SP Roermond","806882","SP-regio Limburg Noord"
"806975","SP Roosendaal","806837","SP-regio Noord-Brabant West"
"806976","SP Rotterdam","806851","SP-regio Rijnmond West"
"806977","SP Rotterdam 2","806803","SP-regio Rijnmond Oost"
"806978","SP Schagen","806806","SP-regio Noord-Holland Noord"
"806979","SP Scheemda","806828","SP-regio Groningen"
"806980","SP Schiedam","806851","SP-regio Rijnmond West"
"806981","SP Schijndel","806848","SP-regio Noord-Brabant Zuidoost"
"806982","SP Schouwen-Duiveland","806894","SP-regio Zeeland"
"806983","SP Sint Oedenrode","806848","SP-regio Noord-Brabant Zuidoost"
"806984","SP Sittard-Geleen","806853","SP-regio Limburg Zuid"
"806985","SP Sliedrecht","806803","SP-regio Rijnmond Oost"
"806986","SP Slochteren","806828","SP-regio Groningen"
"806987","SP Sluis","806894","SP-regio Zeeland"
"806988","SP Smallingerland","806865","SP-regio Friesland"
"806989","SP Sneek","806865","SP-regio Friesland"
"806990","SP Soest/Soesterberg","806817","SP-regio Utrecht"
"806991","SP administratie","806992","SP-regio * adressen onbekend"
"806995","SP Spijkenisse","806851","SP-regio Rijnmond West"
"806996","SP Stadskanaal","806828","SP-regio Groningen"
"806997","SP Stede Broec","806806","SP-regio Noord-Holland Noord"
"806998","SP Steenwijkerland","806809","SP-regio Overijssel"
"807000","SP Stichtse Vecht","806817","SP-regio Utrecht"
"807001","SP Sudwest-Fryslan","806865","SP-regio Friesland"
"807002","SP Terneuzen","806894","SP-regio Zeeland"
"807002","SP Terneuzen","806894","SP-regio Zeeland"
"807004","SP Teylingen","806815","SP-regio Zuid-Holland Noord"
"807005","SP Tholen","806894","SP-regio Zeeland"
"807006","SP Tiel","806831","SP-regio Gelderland Zuid"
"807007","SP Tilburg","806837","SP-regio Noord-Brabant West"
"807008","SP Uden","806841","SP-regio Noord-Brabant NoordOost"
"807009","SP Utrecht","806817","SP-regio Utrecht"
"807010","SP Utrechtse Heuvelrug","806817","SP-regio Utrecht"
"807011","SP Valkenburg","806853","SP-regio Limburg Zuid"
"807012","SP Veendam","806828","SP-regio Groningen"
"807013","SP Veenendaal","806817","SP-regio Utrecht"
"807014","SP Veghel","806841","SP-regio Noord-Brabant NoordOost"
"807015","SP Veldhoven","806848","SP-regio Noord-Brabant Zuidoost"
"807015","SP Veldhoven","806848","SP-regio Noord-Brabant Zuidoost"
"807016","SP Velsen","806822","SP-regio Noord-Holland Zuid"
"807017","SP Venlo","806882","SP-regio Limburg Noord"
"807018","SP Venray","806882","SP-regio Limburg Noord"
"807019","SP Vlaardingen","806851","SP-regio Rijnmond West"
"807020","SP Vlissingen","806894","SP-regio Zeeland"
"807021","SP Voorschoten","806815","SP-regio Zuid-Holland Noord"
"807022","SP Vught","806841","SP-regio Noord-Brabant NoordOost"
"807023","SP Waalwijk","806837","SP-regio Noord-Brabant West"
"807024","SP Wageningen","806831","SP-regio Gelderland Zuid"
"807025","SP Waterland","806822","SP-regio Noord-Holland Zuid"
"807026","SP Weert","806882","SP-regio Limburg Noord"
"807027","SP Weesp","806822","SP-regio Noord-Holland Zuid"
"807028","SP West Maas en Waal","806831","SP-regio Gelderland Zuid"
"807029","SP West-Friesland Oost","806806","SP-regio Noord-Holland Noord"
"807030","SP Westerveld","806800","SP-regio Drenthe"
"807031","SP Westervoort","806831","SP-regio Gelderland Zuid"
"807032","SP Westland","806868","SP-regio Haaglanden"
"807033","SP Weststellingwerf","806865","SP-regio Friesland"
"807034","SP Wijk bij Duurstede","806817","SP-regio Utrecht"
"807035","SP Winschoten","806828","SP-regio Groningen"
"807036","SP Winterswijk","806825","SP-regio Gelderland Noord-en-Oost"
"807037","SP Wormerland","806822","SP-regio Noord-Holland Zuid"
"807041","SP Zaanstreek","806822","SP-regio Noord-Holland Zuid"
"807042","SP Zaltbommel","806831","SP-regio Gelderland Zuid"
"807043","SP Zandvoort","806822","SP-regio Noord-Holland Zuid"
"807044","SP Zeeuws Vlaanderen","806894","SP-regio Zeeland"
"807045","SP Zeist","806817","SP-regio Utrecht"
"807046","SP Zevenaar","806831","SP-regio Gelderland Zuid"
"807046","SP Zevenaar","806831","SP-regio Gelderland Zuid"
"807047","SP Zoetermeer","806868","SP-regio Haaglanden"
"807048","SP Zuidplas","806815","SP-regio Zuid-Holland Noord"
"807049","SP Zutphen","806825","SP-regio Gelderland Noord-en-Oost"
"807050","SP Zwijndrecht","806803","SP-regio Rijnmond Oost"
"807051","SP Zwolle","806809","SP-regio Overijssel"
"807696","SP Landsmeer","806822","SP-regio Noord-Holland Zuid"
"807717","SP Ede","806831","SP-regio Gelderland Zuid"
"808216","SP Bronckhorst","806825","SP-regio Gelderland Noord-en-Oost"
"808439","SP Halderberge","806837","SP-regio Noord-Brabant West"
"808709","SP Woerden","806817","SP-regio Utrecht"
"809998","SP Westerkwartier","806828","SP-regio Groningen"
"810335","SP Midden-Groningen","806828","SP-regio Groningen"
"869811","SP Meierijstad","806841","SP-regio Noord-Brabant NoordOost"
"902743","SP Westerwolde","806828","SP-regio Groningen"
"996582","SP Delfzijl","806828","SP-regio Groningen"
